keys,en,es,ru,el,fr,tr,ja,de,ga,uk,gay
HOLD_TO_THROW,Hold to throw,Aguanta para lanzar,"Удерживать, чтобы бросить",Κράτα πατημένο για να ρίξεις,Tenir pour lancer,Fırlatmak için basılı tut,長押しして投げる,"Halten, um zu werfen",Coinnigh chun caith,Утримуйте щоб кинути,Hold to yeet
RELEASE_TO_THROW,Release to throw,Soltar para lanzar,"Отпустить, чтобы бросить",Άφησε για να ρίξεις,Lâcher pour lancer,Fırlatmak için bırak,離して投げる,"Loslassen, um zu werfen",Scaoil chun caith,Відпустити щоб кинути,Release to yeet
GRAB,Grab,Coger,Взять ,Πιάσε,Prendre ,Al,つかむ,Greifen,Greamaigh,Взяти,Take'm
URN,Grab Urn,Coger la urna,Взять Урну,Πιάσε την υδρία,Saisir l'urne,Kül vazosunu al,骨壺を受け取る,Urne greifen,Greamaigh Umar,Взяти Урну,Knick Urn
PITCHER,Grab Pitcher,Coger la jarra,Взять Кувшин,Πιάσε την κανάτα,Saisir la cruche,Sürahiyi al,水差しを手に取る,Krug greifen,Greamaigh Criathra,Взяти Пітчер,Knick Pitcher
KEY,Grab Key,Coger la llave,Взять Ключ,Πιάσε το κλειδί,Saisir la clé,Anahtarı al,キーを取得,Schlüssel greifen,Greamaigh Eochair,Взяти Ключ,Knick Key
SKULL,Grab Skull,Coger la calavera,Взять Череп,Πιάσε το κρανίο,Saisir le crâne,Kafatasını al,頭蓋骨をつかむ,Schädel greifen,Greamaigh Clib,Взяти Череп,Knick Skull
TORCH,Grab Torch,Coger la antorcha,Взять Факел,Πιάσε τη δάδα,Saisir la torche,Meşaleyi al,松明を手に取る,Fackel greifen,Greamaigh Tóirse,Взяти Факел ,Knick Torch
PRESS_BUTTON,Press button,Pulsar el botón,Нажать на кнопку,Πάτησε το κουμπί,Appuyer sur le button,Düğmeye bas,ボタンを押す,Knopf drücken,Brúigh cnaipe,Натисніть кнопку,Push ma
PULL_LEVER,Pull lever,jala la palanca,Потянуть рычаг,Τράβηξε το μοχλό,Tirer le levier ,Kolu çek,レバーを引く,Hebel ziehen,Tarraing luamhán,Потягніть за важіль,Pull lever
LEVER_HANDLE,Lever handle,Coger el mango de la palanca,Ручка рычага,Πιάσε τη λαβή του μοχλού,Saisir la poignée du levier,Çekme kolu,レバーのハンドル,Hebelgriff greifen,Greamaigh láimhseáil an luamháin,Ручка важеля,Cranky
ATTACH_LEVER,Attach lever,fijar la palanca,Прикрепить рычаг,Συνδέσε το μοχλό,Fixer le levier,Kolu tak,レバーを取り付ける,Hebel befestigen,Ceangail luamhán,Прикріпити важіль,Crank ma
BABY,Grab Baby,Coger al bebé,Взять Ребёнка ,Πιάσε το μωρό,Saisir le bébé,Bebek,赤ちゃんを抱きしめて,Baby greifen,Greamaigh Leanbh,Взяти Немовля,Kidnap
