keys,en,es,ru,it,fr,cn,ja,de,br,ga
HOLD_TO_THROW,Hold to throw,Mantén pulsado para lanzar,"Удерживать, чтобы бросить",Tieni premuto per lanciare,Maintenir pour lancer,按住投掷,長押しして投げる,"Halten, um zu werfen",Segure para jogar,Coinnigh chun caith
RELEASE_TO_THROW,Release to throw,Suelta para lanzar,"Отпустить, чтобы бросить",Rilascia per lanciare,Relâcher pour lancer,松开投掷,離して投げる,"Loslassen, um zu werfen",Solte para jogar,Scaoil chun caith
GRAB,Grab,Coge ,Взять ,Afferra ,Saisir ,抓取 ,つかむ,Greifen ,Pegue ,Greamaigh 
URN,Urn,Urna,Взять Урну,Urna,Urne,瓮,骨壺,Urne,Urna,Uirn
PITCHER,Pitcher,Jarra,Взять Кувшин,Brocca,Pichet,壶,水差し,Krug,Jarro,Crúiscín
KEY,Key,Llave,Взять Ключ,Chiave,Clé,钥匙,カギ ,Schlüssel,Chave,Eochair
SKULL,Skull,Cráneo,Взять Череп,Teschio,Crâne,头骨,頭蓋骨 ,Schädel,Crânio,Clib
TORCH,Torch,Antorcha,Взять Факел,Torcia,Torche,火把,トーチ ,Fackel,Tocha,Tóirse
PRESS_BUTTON,Press button,Pulsa el botón,Нажать на кнопку,Premi il pulsante,Appuyer sur le bouton,按下按钮,ボタンを押す,Knopf drücken,Pressione o botão,Brúigh an cnaipe
PULL_LEVER,Pull lever,Tira de la palanca,Потянуть рычаг,Tira la leva,Tirer le levier,拉动杠杆,レバーを引く,Hebel ziehen,Puxe a alavanca,Tarraing an luamhán
LEVER_HANDLE,Lever handle,Manilla de palanca,Ручка рычага,Maniglia a leva,Poignée à levier,杠杆手柄,レバーのハンドル,Hebelgriff,Alavanca,Láimhseáil ghiaráin
ATTACH_LEVER,Attach lever,Fijar la palanca,Прикрепить рычаг,Fissare la leva,Fixer le levier,安装杠杆,レバーを取り付ける,Hebel befestigen,Fixar a alavanca,Ceangail an giar
BABY,Baby,,Взять Ребёнка ,,,,赤ちゃん,,,
BELL,Bell,,Взять Колокол,,,,ベル,,,
SAVE_BABY,Save Baby,,Спасти Ребёнка,,,,赤ちゃんを救う,,,
STATUE_PIECE_HEAD,Head piece,,Часть Головы,,,,ヘッドピース,,,
STATUE_PIECE_BASE,Base piece,,Часть Основы,,,,土台パーツ,,,
STATUE_PIECE_ARM,Arm piece,,Часть Руки,,,,アームピース ,,,
STATUE_PROMPT,Insert,,Прикрепить,,,,はめ込む,,,
STONE,Stone,,Взять Камень,,,,石,,,
SAVE,Hold to save,,Удерживать для сохранения,,,,長押しして保存,,,
PULL_CHAIN,Pull chain,,Тянуть Цепь,,,,鎖を引く,,,
UNLOCK_DOOR,Unlock door,,Открыть Дверь,,,,扉を開ける/ドアを開ける,,,
TORCH_SCONCE,Light sconce,,Зажечь бра,,,,火を灯す,,,
START_GAME,Start Game,,Начать Игру,,,,ゲーム開始,,,
LOAD_GAME,Load Game,,Загрузить Игру,,,,ゲームを読み込む,,,
DEV_ROOM,Dev Room,,Комната Разработчиков ,,,,開発ルーム,,,
OPTIONS,Options,,Настройки,,,,設定,,,
EXIT,Exit,,Выход,,,,終了,,,
AUDIO,Audio,,Аудио,,,,音声,,,
CONTROLS,Controls,,Управление,,,,操作方法,,,
VIDEO,Video,,Видио,,,,映像,,,
MASTER,Master Volume,,Общий Звук,,,,マスターボリューム,,,
SFX,Sound Effects Volume,,Звуковые Эффекты,,,,効果音の音量,,,
MUSIC,Music Volume,,Музыка,,,,音楽の音量,,,
AMBIENT,Ambient Volume,,Звук Окружения,,,,環境の音量,,,
MUTE,Mute,,Заглушить ,,,,ミュート,,,
FULLSCREEN,Fullscreen,,Полный Экран,,,,全画面表示,,,
RESOLUTION,Resolution,,Разрешение,,,,解像度,,,
ANTI_ALIASING,Anti-Aliasing,,Сглаживание,,,,アンチエイリアシング,,,
EXPEREMENTAL_HANDS,Experemental Hands Lighting,,Экспериментальное освещение рук,,,,手のライティング,,,
GRAB_LEFT,Grab Left,,Взять Левой,,,,左手でつかむ,,,
GRAB_RIGHT,Grab Right,,Взять Правой,,,,右手でつかむ,,,
TURN_LEFT,Turn Left,,Поворот Налево,,,,左を向く,,,
TURN_RIGHT,Turn Right,,Поворот Направо,,,,右を向く,,,
LEFT_HAND,Left Hand,,Левая Рука,,,,左手,,,
RIGHT_HAND,Right Hand,,Правая Рука,,,,右手,,,
WALKING,Walking,,Передвижение,,,,移動,,,
USE_LEFT,Use Left Hand Item,,Применить в Левой Руке,,,,左手アイテムを使う,,,
USE_RIGHT,Use Right Hand Item,,Применить в Правой Руке,,,,右手アイテムを使う,,,
CROUCH,Crouch,,Присесть,,,,しゃがむ,,,
RELOAD_LAST_SAVE,Reload Last Save,,Загрузить Сохранение,,,,最後のセーブをロード,,,
RESTART_LEVEL,Restart Level,,Начать Заново,,,,ステージをやり直す,,,
EXIT_TO_MENU,Exit To Menu,,Выйти в Меню,,,,メニューに戻る,,,
BACK,Back,,Назад,,,,戻る,,,
CONFIRM,Confirm,,Подтвердить,,,,決定,,,
CREDITS,Credits,,Титры,,,,クレジット,,,
