keys,en,es,ru,el,fr,tr,ja,de,ga,uk,vi,sk,it
HOLD_TO_THROW,Hold to throw,Aguanta para lanzar,"Удерживать, чтобы бросить",Κράτα πατημένο για να ρίξεις,Tenir pour lancer,Fırlatmak için basılı tut,長押しして投げる,"Halten, um zu werfen",Coinnigh chun caith,Утримуйте щоб кинути,Giữ để ném,Podrž na hodenie,Tieni premuto per lanciare
RELEASE_TO_THROW,Release to throw,Soltar para lanzar,"Отпустить, чтобы бросить",Άφησε για να ρίξεις,Lâcher pour lancer,Fırlatmak için bırak,離して投げる,"Loslassen, um zu werfen",Scaoil chun caith,Відпустити щоб кинути,Thả ra để ném,Pusť na hodenie,Rilascia per lanciare
GRAB,Grab,Coger,Взять ,Πιάσε,Prendre ,Al,つかむ,Greifen,Greamaigh,Взяти,Nhặt,Zobrať,Afferra
URN,Grab Urn,Coger la urna,Взять Урну,Πιάσε την υδρία,Saisir l'urne,Kül vazosunu al,骨壺をつかむ,Urne greifen,Greamaigh Umar,Взяти Урну,Nhặt bình,Zobrať Urnu,Afferra l'urna
PITCHER,Grab Pitcher,Coger la jarra,Взять Кувшин,Πιάσε την κανάτα,Saisir la cruche,Sürahiyi al,水差しを手に取る,Krug greifen,Greamaigh Criathra,Взяти Пітчер,Nhặt bình đựng nước,Zobrať Džbán,Afferra la brocca
KEY,Grab Key,Coger la llave,Взять Ключ,Πιάσε το κλειδί,Saisir la clé,Anahtarı al,キーをつかむ,Schlüssel greifen,Greamaigh Eochair,Взяти Ключ,Nhặt chìa khóa,Zobrať Kľúč,Afferra la chiave
SKULL,Grab Skull,Coger la calavera,Взять Череп,Πιάσε το κρανίο,Saisir le crâne,Kafatasını al,頭蓋骨をつかむ,Schädel greifen,Greamaigh Clib,Взяти Череп,Nhặt hộp sọ,Zobrať Lebku,Afferra il teschio
TORCH,Grab Torch,Coger la antorcha,Взять Факел,Πιάσε τη δάδα,Saisir la torche,Meşaleyi al,松明をつかむ,Fackel greifen,Greamaigh Tóirse,Взяти Факел ,Nhặt đuốc,Zobrať Fakľu,Afferra la torcia
PRESS_BUTTON,Press button,Pulsar el botón,Нажать на кнопку,Πάτησε το κουμπί,Appuyer sur le button,Düğmeye bas,ボタンを押す,Knopf drücken,Brúigh cnaipe,Натисніть кнопку,Nhấn nút,Stlačiť Tlačidlo,Premi il pulsante
PULL_LEVER,Pull lever,jala la palanca,Потянуть рычаг,Τράβηξε το μοχλό,Tirer le levier ,Kolu çek,レバーを引く,Hebel ziehen,Tarraing luamhán,Потягніть за важіль,Kéo cần gạt,Potiahnúť Páku,Tira la leva
LEVER_HANDLE,Lever handle,Coger el mango de la palanca,Ручка рычага,Πιάσε τη λαβή του μοχλού,Saisir la poignée du levier,Çekme kolu,レバーのハンドル,Hebelgriff greifen,Greamaigh láimhseáil an luamháin,Ручка важеля,Tay cầm cần gạt,Zobrať Rukoveť Páky,Afferra la maniglia della leva
ATTACH_LEVER,Attach lever,fijar la palanca,Прикрепить рычаг,Συνδέσε το μοχλό,Fixer le levier,Kolu tak,レバーを取り付ける,Hebel feststecken,Ceangail luamhán,Прикріпити важіль,Gắn cần gạt,Nasadiť Rukoveť,Fissa la leva
BABY,Grab Baby,Coger al bebé,Взять Ребёнка ,Πιάσε το μωρό,Saisir le bébé,Bebek,赤ちゃんを抱,Baby greifen,Greamaigh pasitin ,Взяти Немовля,Nhặt em bé,Zobrať Bábätko,Afferra il bambino
BELL,Grab Bell,Coger la campana,Взять Колокол,Πιάσε την καμπάνα,Saisir la cloche,Zili al,ベルをつかむ,Glocke greifen,Greamaigh Clog,Взяти Дзвінок,Nhặt chuông,Zobrať Zvonček,Afferra la campana
SAVE_BABY,Save Baby,Salvar al bebé,Спасти Ребёнка,Σώσε το μωρό,Sauver le bébé,Bebeği Kurtar,赤ちゃんを救う,Baby retten,Sábháil an Leanbh,Врятуйте Немовля,Cứu em bé,Zachániť Bábätko,Salva il bambino
