keys,en,es,ru,it,fr,cn,ja,de,br,ga
HOLD_TO_THROW,Hold to throw,Mantén pulsado para lanzar,"Удерживать, чтобы бросить",Tieni premuto per lanciare,Maintenir pour lancer,按住投掷,押したままにすると投げる,"Halten, um zu werfen",Segure para jogar,Coinnigh chun caith
RELEASE_TO_THROW,Release to throw,Suelta para lanzar,"Отпустить, чтобы бросить",Rilascia per lanciare,Relâcher pour lancer,松开投掷,離すと投げる,"Loslassen, um zu werfen",Solte para jogar,Scaoil chun caith
GRAB,Grab ,Coge ,Взять ,Afferra ,Saisir ,抓取 ,つかむ ,Greifen ,Pegue ,Greamaigh 
URN,Urn,Urna,Урну,Urna,Urne,瓮,壺,Urne,Urna,Uirn
PITCHER,Pitcher,Jarra,Кувшин,Brocca,Pichet,壶,水差し,Krug,Jarro,Crúiscín
KEY,Key,Llave,Ключ,Chiave,Clé,钥匙,鍵,Schlüssel,Chave,Eochair
SKULL,Skull,Cráneo,Череп,Teschio,Crâne,头骨,頭蓋骨,Schädel,Crânio,Clib
TORCH,Torch,Antorcha,Факел,Torcia,Torche,火把,松明,Fackel,Tocha,Tóirse
PRESS_BUTTON,Press button,Pulsa el botón,Нажать на кнопку,Premi il pulsante,Appuyer sur le bouton,按下按钮,ボタンを押す,Knopf drücken,Pressione o botão,Brúigh an cnaipe
PULL_LEVER,Pull lever,Tira de la palanca,Потянуть рычаг,Tira la leva,Tirer le levier,拉动杠杆,レバーを引く,Hebel ziehen,Puxe a alavanca,Tarraing an luamhán
